data_name,lr,wd,best_temp
DD,0.0064283466349788,0.0002954110139862,0.9
DD,0.0049042687986551,0.0011757638771734,0.5
ENZYMES,0.0011415061215439,0.006951025632062,0.4
ENZYMES,0.0013712716376708,0.0351051343158199,0.7000000000000001
PROTEINS,0.000986497138197,0.0002340231582237,0.4
PROTEINS,0.0008818803546184,0.0266219987866073,0.7000000000000001
SBM,0.001409225962893,2.4268110745972897e-05,0.1
SBM,0.0008353560358554,1.06095402672641e-05,0.4
community2,0.0099036647227627,6.534825655738635e-05,1.8000000000000005
community2,0.0032148513334752,0.0036729492486763,0.9
grid2d,0.0020790834405585,1.0724502324669624e-05,0.2
grid2d,0.0077397272649207,1.1470221964016774e-05,0.9
peptides,0.0038834580488013,2.436239648158504e-05,0.8
peptides,0.0021540115421209,0.0004269385361139,0.5
planar,0.0012515870355287,2.0996544234131445e-05,0.6
planar,0.0009751920410791,5.402778553154944e-05,0.5
zinc250k,0.0066168771231919,0.0190820868613274,0.5
zinc250k,0.0093004178459599,0.0800978098647315,0.2
